,Sentence,Intent,Color,Item
15799,rydguxexqqyxkewnyvs,unknown,unknown,unknown
8023,jdano,unknown,unknown,unknown
5013,zxbjhsejaossixz,unknown,unknown,unknown
10097,vdyyffgcfshptzobve,unknown,unknown,unknown
11846,tgwyfzoaobroq,unknown,unknown,unknown
12977,pbnxrhhbdcr,unknown,unknown,unknown
3804,togpxylmwatk,unknown,unknown,unknown
5849,what about the black chemise,unknown,black,chemise
5110,what about the blue t-shirt,unknown,blue,t-shirt
11566,efisedlmgr,unknown,unknown,unknown
9863,carplmxjnfqszhzb,unknown,unknown,unknown
6220,qvhjuubbunicvriipvt,unknown,unknown,unknown
15005,qgqgwtbjvc,unknown,unknown,unknown
15554,jqtxradsxkjqjhtwtrs,unknown,unknown,unknown
6631,uxyzlmgaayhdo,unknown,unknown,unknown
8657,jejrcadeh,unknown,unknown,unknown
14361,nhn,unknown,unknown,unknown
3198,i am looking for a blue short,Check Availability,blue,short
10418,zsjupnrwpx,unknown,unknown,unknown
16192,suyyvfxqulmurh,unknown,unknown,unknown
8371,eypriwf,unknown,unknown,unknown
7737,buf,unknown,unknown,unknown
10070,xbskalm,unknown,unknown,unknown
8769,olmuqfcvk,unknown,unknown,unknown
10651,gplmidawfaeeuwzn,unknown,unknown,unknown
15888,haanzlmah,unknown,unknown,unknown
4038,apaxpxjjveat,unknown,unknown,unknown
345,hcnxoydwnwsptbsjqn,unknown,unknown,unknown
5779,uzkoi,unknown,unknown,unknown
14695,jdtbodvquq,unknown,unknown,unknown
8603,qsxbpzzfpnoopaapb,unknown,unknown,unknown
15498,eadglmbehsw,unknown,unknown,unknown
1340,kjrgbfgq,unknown,unknown,unknown
5615,is there available a blue dress,Check Availability,blue,dress
5676,kihainv,unknown,unknown,unknown
12253,pfo,unknown,unknown,unknown
15560,bjxtab,unknown,unknown,unknown
14759,kyixxech,unknown,unknown,unknown
2631,qyavwpwuzr,unknown,unknown,unknown
2156,cksncynuseq,unknown,unknown,unknown
8356,jhhflmhagdyehbhhg,unknown,unknown,unknown
773,what is the price of a purple skirt,Asking for the price,purple,skirt
3132,i am looking for a pink dress,Check Availability,pink,dress
10482,hndeiajjqoypnvcj,unknown,unknown,unknown
5405,some pink hat,unknown,pink,hat
7855,cxxwzlmotefggxx,unknown,unknown,unknown
13770,lmsrwnojjl,unknown,unknown,unknown
13565,uwwra,unknown,unknown,unknown
13329,shsnxtfnayevj,unknown,unknown,unknown
14043,eiftycbckxodcslmref,unknown,unknown,unknown
6932,qelmsqgpgoxlmxy,unknown,unknown,unknown
4778,i am looking for a orange jacket,Check Availability,orange,jacket
4123,may i ask for a brown shirt,Check Availability,brown,shirt
6106,wsgawopkdhytalmkty,unknown,unknown,unknown
13508,zlmxpkgiodwjqdnhuz,unknown,unknown,unknown
14401,qatxlmsks,unknown,unknown,unknown
14458,xjuzlmotjnycah,unknown,unknown,unknown
2444,is the purple t-shirt expensive ?,unknown,purple,t-shirt
6679,cuao,unknown,unknown,unknown
7046,vikajbkdjysbww,unknown,unknown,unknown
12446,feqnkweo,unknown,unknown,unknown
7830,jsybqfstolmnudzhfzh,unknown,unknown,unknown
9549,hxwrchsrugzzcdptc,unknown,unknown,unknown
13257,itxtbw,unknown,unknown,unknown
44,hzadrdazqykhv,unknown,unknown,unknown
10586,difiicbypd,unknown,unknown,unknown
8182,dwpycuqev,unknown,unknown,unknown
9466,of,unknown,unknown,unknown
2019,dqygcan,unknown,unknown,unknown
15294,qqohewyrp,unknown,unknown,unknown
7705,zvzhax,unknown,unknown,unknown
10169,dfkwg,unknown,unknown,unknown
12301,xwnqwdje,unknown,unknown,unknown
10694,uotlmbtzb,unknown,unknown,unknown
1073,do you still have a brown pantalon,Check Availability,brown,pantalon
15236,ectyucwtykr,unknown,unknown,unknown
3288,wizwsvkvakwztbywbvn,unknown,unknown,unknown
2082,cbcfeglmph,unknown,unknown,unknown
115,juaxzpjhyiyxl,unknown,unknown,unknown
4446,wnyfwusrvefwgk,unknown,unknown,unknown
10893,oxlmsbdx,unknown,unknown,unknown
12345,bvzkyarithxdvdclmq,unknown,unknown,unknown
9489,hyqxusobiyjxqbta,unknown,unknown,unknown
11555,icqzyvtjoukfedpn,unknown,unknown,unknown
7223,nivkitqc,unknown,unknown,unknown
8595,zepyd,unknown,unknown,unknown
7180,is there a red chemise,Check Availability,red,chemise
5128,dfjnxqv,unknown,unknown,unknown
11401,rlmkndzzpg,unknown,unknown,unknown
5896,He is playing a game,unknown,unknown,unknown
14942,ufczjjssswqdz,unknown,unknown,unknown
10826,sxzupfqghuirlmevitg,unknown,unknown,unknown
10384,qojypcuelmfgxsq,unknown,unknown,unknown
1698,oeyivsudzberqhdo,unknown,unknown,unknown
948,utakrdxskvrbtcryqgz,unknown,unknown,unknown
5241,can i find a red t-shirt,Check Availability,red,t-shirt
6887,can i find a orange jeans,Check Availability,orange,jeans
452,what about a yellow pullover,unknown,yellow,pullover
2306,necnojjxzvnjv,unknown,unknown,unknown
3386,i am looking for a purple body,Check Availability,purple,body
10089,etlmi,unknown,unknown,unknown
6855,wdvbbtxuutoizd,unknown,unknown,unknown
5030,can i find a green jeans,Check Availability,green,jeans
15552,nfjzpcbbbtcy,unknown,unknown,unknown
1470,qvkbxlmxilmxaidvovi,unknown,unknown,unknown
1500,upiu,unknown,unknown,unknown
9255,saazqkzd,unknown,unknown,unknown
3391,is there a cyan chemise,Check Availability,cyan,chemise
13521,nzlmjqhgycplmw,unknown,unknown,unknown
187,can i find a white t-shirt,Check Availability,white,t-shirt
10107,vcgcahkunjhkiyyd,unknown,unknown,unknown
8858,nifdukugvlmhy,unknown,unknown,unknown
13997,zcazuefbahtshpc,unknown,unknown,unknown
15599,aprhlmu,unknown,unknown,unknown
2508,lmulmfbzoqhj,unknown,unknown,unknown
12750,tppzezsdiqtofgkfu,unknown,unknown,unknown
4328,hjpjfcfoxqiyg,unknown,unknown,unknown
1954,jwvyjcbtwvrtgxra,unknown,unknown,unknown
15939,kqazd,unknown,unknown,unknown
9796,xtsggahc,unknown,unknown,unknown
3453,vnieprfikkcxantkfuv,unknown,unknown,unknown
2089,do you have a orange short,Check Availability,orange,short
8511,yfkbnulmdfe,unknown,unknown,unknown
301,ccgizr,unknown,unknown,unknown
16086,bobesn,unknown,unknown,unknown
16322,qqlmfespbzuxsxergo,unknown,unknown,unknown
87,kwcyetekqhbuaynprgp,unknown,unknown,unknown
7,danbi,unknown,unknown,unknown
7113,wkjzyn,unknown,unknown,unknown
9475,gaqkohygeoraeonrjha,unknown,unknown,unknown
8740,thnxkpxr,unknown,unknown,unknown
15292,gtclmozgunlm,unknown,unknown,unknown
10553,aklmz,unknown,unknown,unknown
5280,ousisu,unknown,unknown,unknown
13327,vsnydihgyn,unknown,unknown,unknown
1295,what about yellow jeans,unknown,yellow,jeans
1705,objejw,unknown,unknown,unknown
2586,do you have a blue pullover,Check Availability,blue,pullover
11836,opukfwqusflmpa,unknown,unknown,unknown
1065,w,unknown,unknown,unknown
12029,gouijk,unknown,unknown,unknown
1130,nlmayvdscvh,unknown,unknown,unknown
11447,bpfaclmiird,unknown,unknown,unknown
15541,ilmjortoqhognzd,unknown,unknown,unknown
9081,dl,unknown,unknown,unknown
11273,lmgxdwvkjtawbtep,unknown,unknown,unknown
7453,town,unknown,unknown,unknown
7825,dpajqw,unknown,unknown,unknown
12291,btu,unknown,unknown,unknown
12431,tdkwcdaxhvgxqvh,unknown,unknown,unknown
8307,obw,unknown,unknown,unknown
12036,sjxqslm,unknown,unknown,unknown
13754,hoeycdds,unknown,unknown,unknown
11908,ec,unknown,unknown,unknown
12168,npocwrskslmjnutbt,unknown,unknown,unknown
13004,jesvu,unknown,unknown,unknown
8528,crhdteg,unknown,unknown,unknown
8071,dwdxwhf,unknown,unknown,unknown
3201,i am looking for a cyan pullover,Check Availability,cyan,pullover
7813,thdx,unknown,unknown,unknown
13259,jewlmekkfrco,unknown,unknown,unknown
12852,vxzyudfqgpocfunro,unknown,unknown,unknown
3431,yvjstxbjjoebijqp,unknown,unknown,unknown
15604,pavfxowkutoyohevy,unknown,unknown,unknown
8022,exigqyt,unknown,unknown,unknown
4719,is there available a yellow jeans,Check Availability,yellow,jeans
1200,may i ask for a yellow pantalon,Check Availability,yellow,pantalon
11877,yqwxziyfrfjdjqrd,unknown,unknown,unknown
8374,sbfobgxxfp,unknown,unknown,unknown
6806,sdrzt,unknown,unknown,unknown
11893,pajylmiswoyjguxyq,unknown,unknown,unknown
13558,houbdict,unknown,unknown,unknown
14262,kavuwbgjnatkztqao,unknown,unknown,unknown
4027,cbkntr,unknown,unknown,unknown
5358,what is the price of a white dress,Asking for the price,white,dress
15877,uxulmaclmnqolmcfrww,unknown,unknown,unknown
9009,tvbrlmptdogp,unknown,unknown,unknown
6607,qvidoolmfz,unknown,unknown,unknown
2341,rfaudb,unknown,unknown,unknown
10543,wlmathtjlmjjxxw,unknown,unknown,unknown
8318,roszocjabzobp,unknown,unknown,unknown
6187,ceyhvxjxpjtbbssari,unknown,unknown,unknown
6066,vpsxteadcd,unknown,unknown,unknown
8035,nosvoijtzjv,unknown,unknown,unknown
9745,i am looking for a black t-shirt,Check Availability,black,t-shirt
2980,tgibthtapydttupchr,unknown,unknown,unknown
849,is the white pantalon expensive ?,unknown,white,pantalon
14811,eqrhuutiqozh,unknown,unknown,unknown
14988,qwuergz,unknown,unknown,unknown
11712,bafqtoicgt,unknown,unknown,unknown
15501,wiqvheucrbazzptrfs,unknown,unknown,unknown
7931,picvklmuqovfk,unknown,unknown,unknown
1717,tkxcofvnlmiti,unknown,unknown,unknown
8081,kvibblmx,unknown,unknown,unknown
11233,yql,unknown,unknown,unknown
9864,kkufinv,unknown,unknown,unknown
11632,oyxvynk,unknown,unknown,unknown
6548,bipx,unknown,unknown,unknown
6328,what about the purple body,unknown,purple,body
9051,tsgxaanuc,unknown,unknown,unknown
5608,jvytjrqj,unknown,unknown,unknown
7731,xtzslmgirogt,unknown,unknown,unknown
11998,soberiibxqqolmjlm,unknown,unknown,unknown
16246,jvqsyehuh,unknown,unknown,unknown
8481,lmyatpzhovhs,unknown,unknown,unknown
2006,udxesjs,unknown,unknown,unknown
5548,xvfwvrnjnlm,unknown,unknown,unknown
3634,edolmdvzgrerjvafwj,unknown,unknown,unknown
9168,zengoubrse,unknown,unknown,unknown
10370,raq,unknown,unknown,unknown
4188,oythahaqzhfb,unknown,unknown,unknown
13787,ykqvtbkeauopxhyazsr,unknown,unknown,unknown
8099,lmapdlmxvooi,unknown,unknown,unknown
6663,what about purple shoes,unknown,purple,shoes
745,can i find a brown pantalon,Check Availability,brown,pantalon
11635,vrvqwunosfvk,unknown,unknown,unknown
12928,yzkstxjbyu,unknown,unknown,unknown
7854,vyp,unknown,unknown,unknown
15713,rce,unknown,unknown,unknown
255,hlmoibppqvxbd,unknown,unknown,unknown
15416,ohblmnvavidoygbyrj,unknown,unknown,unknown
3076,qhsuftiwnyownc,unknown,unknown,unknown
4207,may i ask for a chemise,Check Availability,unknown,chemise
12049,ddclmfgb,unknown,unknown,unknown
11061,gqyhqrcikxcjaxwyria,unknown,unknown,unknown
15904,hqps,unknown,unknown,unknown
15589,yod,unknown,unknown,unknown
6692,rdifx,unknown,unknown,unknown
13573,oshylmdprva,unknown,unknown,unknown
9066,oozrskuk,unknown,unknown,unknown
7922,ixtnjnipepyxwsvlmjw,unknown,unknown,unknown
12468,edawoijdfwhl,unknown,unknown,unknown
2106,hwojdyeygfchwqzwlm,unknown,unknown,unknown
5697,i am looking for a blue skirt,Check Availability,blue,skirt
10613,tcphzxuubqeuoxnx,unknown,unknown,unknown
9422,xjhwtjut,unknown,unknown,unknown
7768,efebhofibgrouvrs,unknown,unknown,unknown
10348,awdyopahvw,unknown,unknown,unknown
11282,jqjdvfhxqkibpqt,unknown,unknown,unknown
11575,jo,unknown,unknown,unknown
12364,fcjjlmbnarknyzskq,unknown,unknown,unknown
3294,fupdaklmtzoihk,unknown,unknown,unknown
10993,vgtxzaajcsflmysqgh,unknown,unknown,unknown
13336,cw,unknown,unknown,unknown
11458,btxzivoajwaatiosn,unknown,unknown,unknown
2499,czx,unknown,unknown,unknown
3664,lmgztquadhobqptrwnk,unknown,unknown,unknown
9628,rgdcho,unknown,unknown,unknown
2675,fv,unknown,unknown,unknown
8582,tjyhfbyzygygjy,unknown,unknown,unknown
12637,tbhglmcxlmbbzygu,unknown,unknown,unknown
5530,rnspoqtjugeqnfyvr,unknown,unknown,unknown
7945,hslmvafuz,unknown,unknown,unknown
9132,hsqjclmlm,unknown,unknown,unknown
4701,dfqhxtrfh,unknown,unknown,unknown
7880,ubqf,unknown,unknown,unknown
1280,ypkguexg,unknown,unknown,unknown
8090,uufoawqkskxvzqwiwk,unknown,unknown,unknown
1625,what about the cyan pullover,unknown,cyan,pullover
10091,hfohsytlmisuoveq,unknown,unknown,unknown
15973,lmfdnguanxgai,unknown,unknown,unknown
5533,do you have a yellow shoes,Check Availability,yellow,shoes
14075,hkfwxk,unknown,unknown,unknown
12043,bfk,unknown,unknown,unknown
16347,xczcxsdasf,unknown,unknown,unknown
4575,ttgjfpuc,unknown,unknown,unknown
336,what about a red jeans,unknown,red,jeans
3989,bofonwsypyb,unknown,unknown,unknown
8890,xlmsusrsihsa,unknown,unknown,unknown
4593,i am looking for a red pullover,Check Availability,red,pullover
13468,fpgofffrsbp,unknown,unknown,unknown
2963,un,unknown,unknown,unknown
11589,ifehgrixtqdbakoxi,unknown,unknown,unknown
530,wb,unknown,unknown,unknown
8046,hqhqsqhgjkyyqpb,unknown,unknown,unknown
13661,djya,unknown,unknown,unknown
13140,xqyecettaxn,unknown,unknown,unknown
13034,axnezfoojuqzu,unknown,unknown,unknown
3752,some cyan hat,unknown,cyan,hat
1020,ybrcnuprdfgiolmhv,unknown,unknown,unknown
13346,hvwcrilmcrogzx,unknown,unknown,unknown
16407,asdhasgjfkhgashdgkas,unknown,unknown,unknown
9692,dyfrreoizby,unknown,unknown,unknown
5987,bq,unknown,unknown,unknown
193,yeohgbclmvoxcwn,unknown,unknown,unknown
7773,ozv,unknown,unknown,unknown
8327,grjtnt,unknown,unknown,unknown
9149,fcbqntzbpwhnrxqb,unknown,unknown,unknown
7136,what about the pink pullover,unknown,pink,pullover
3380,oitcxsuqnzxl,unknown,unknown,unknown
15396,orpbwlmlmvtvtbhc,unknown,unknown,unknown
3959,pefztrydkpvplmdivlm,unknown,unknown,unknown
7621,xwjtnkhbwtlm,unknown,unknown,unknown
11918,uwadqlmo,unknown,unknown,unknown
11113,srqupyhglmorhc,unknown,unknown,unknown
5648,ndjvplmehtqbvzdpenl,unknown,unknown,unknown
1813,i am looking for a brown pullover,Check Availability,brown,pullover
9659,goguhqkqhccwtjjywu,unknown,unknown,unknown
8639,lmwpjoe,unknown,unknown,unknown
2220,can i find a gray jacket,Check Availability,gray,jacket
2779,some white jeans,unknown,white,jeans
8395,eran,unknown,unknown,unknown
1577,syfyphhpynzgekyuz,unknown,unknown,unknown
12528,aaobafiks,unknown,unknown,unknown
10945,ceevdengrk,unknown,unknown,unknown
13370,soon,unknown,unknown,unknown
15745,lmoslmatf,unknown,unknown,unknown
12175,iydvyuewqyacd,unknown,unknown,unknown
7179,can i find a red shoes,Check Availability,red,shoes
751,what about a blue body,unknown,blue,body
2791,yauvadqiybhefndf,unknown,unknown,unknown
1548,do you have a cyan pullover,Check Availability,cyan,pullover
5064,yt,unknown,unknown,unknown
8309,ifdyoutgfj,unknown,unknown,unknown
4363,akznyudj,unknown,unknown,unknown
6364,cgwkiat,unknown,unknown,unknown
12000,gutzociiwjkxnodg,unknown,unknown,unknown
1941,what about a green shoes,unknown,green,shoes
916,qeinbiqacvlmwzc,unknown,unknown,unknown
13672,cxvidc,unknown,unknown,unknown
9545,zfqhefkz,unknown,unknown,unknown
3127,is the white dress expensive ?,unknown,white,dress
11897,zpnlmuhlm,unknown,unknown,unknown
14996,tjjvejxtlmqiuojeqxd,unknown,unknown,unknown
9618,hralmrrzhqo,unknown,unknown,unknown
4177,how much does a black dress cost,Asking for the price,black,dress
13883,jqbe,unknown,unknown,unknown
9574,xwargglmfkyocqgf,unknown,unknown,unknown
5677,xekfknawu,unknown,unknown,unknown
5457,qz,unknown,unknown,unknown
3377,wjjfiqu,unknown,unknown,unknown
747,what about a purple jacket,unknown,purple,jacket
11824,bqpigyabfk,unknown,unknown,unknown
7569,kcaalmzpwnfnlmtzwo,unknown,unknown,unknown
9891,wzylmjiyhwdxlmxjb,unknown,unknown,unknown
1737,what about the brown jeans,unknown,brown,jeans
2267,xqjsngyrduuhphzk,unknown,unknown,unknown
5419,what about the blue body,unknown,blue,body
12430,riouapaefvqnuextneq,unknown,unknown,unknown
8017,gfsxqdyoz,unknown,unknown,unknown
13545,kydnthjjdl,unknown,unknown,unknown
1738,what about short,unknown,unknown,short
6418,hlmhdcnodpzdu,unknown,unknown,unknown
12583,almgj,unknown,unknown,unknown
10548,sntwgeazv,unknown,unknown,unknown
6292,vrdxsnutkk,unknown,unknown,unknown
7027,dhdaxkse,unknown,unknown,unknown
14419,ozihqlmkcc,unknown,unknown,unknown
4033,kcoxkajjbnafbkblmw,unknown,unknown,unknown
7937,wcscty,unknown,unknown,unknown
4533,lmhuvqbsefneeezbwhy,unknown,unknown,unknown
11202,xczwajjvbowuxiaxgsj,unknown,unknown,unknown
11673,gvvzcalmlmiupeq,unknown,unknown,unknown
4181,do you still have a body,Check Availability,unknown,body
211,nxzdcctxxazttqak,unknown,unknown,unknown
964,do you still have a black skirt,Check Availability,black,skirt
14317,dcdslmbdqcrpodqbr,unknown,unknown,unknown
11385,pnnfnennyneurwqnc,unknown,unknown,unknown
234,klm,unknown,unknown,unknown
8490,sygp,unknown,unknown,unknown
12487,vvhkxwglmyueqqewu,unknown,unknown,unknown
11097,ihqtudp,unknown,unknown,unknown
9514,vgk,unknown,unknown,unknown
8400,qnx,unknown,unknown,unknown
215,rcnjlmir,unknown,unknown,unknown
6734,lmjpffdjjkwxbcp,unknown,unknown,unknown
15202,ftvbwgbzuvve,unknown,unknown,unknown
16112,guiuanqnw,unknown,unknown,unknown
12976,xggaopjlmnzcuf,unknown,unknown,unknown
3400,wpaexsidlmbwcnda,unknown,unknown,unknown
2196,is there a pink jeans,Check Availability,pink,jeans
3306,pdfwtqcwsijzyyjbvb,unknown,unknown,unknown
7176,ogahkwqdpzaax,unknown,unknown,unknown
2087,thrlmb,unknown,unknown,unknown
14289,xdqjpwdk,unknown,unknown,unknown
2764,uvrrpabnxocn,unknown,unknown,unknown
1277,do you still have a purple shirt,Check Availability,purple,shirt
9177,dynqchpboakvqoxv,unknown,unknown,unknown
9847,ewdjerooilmyystvaa,unknown,unknown,unknown
11052,wlmgjntqna,unknown,unknown,unknown
3310,do you have a yellow hat,Check Availability,yellow,hat
12017,lmiwvwsgjkqkuhwlmox,unknown,unknown,unknown
9313,iakgknawgspbavperd,unknown,unknown,unknown
15933,lmvsfo,unknown,unknown,unknown
12366,ocheiexclmpekwofeov,unknown,unknown,unknown
6468,arowyctoinnred,unknown,unknown,unknown
13603,kwjuxbtdtpahgf,unknown,unknown,unknown
10385,tlmtnucjode,unknown,unknown,unknown
16049,jftaiirihgl,unknown,unknown,unknown
15611,yekzftfzbrsfinqj,unknown,unknown,unknown
438,some gray t-shirt,unknown,gray,t-shirt
4805,ktckahxexu,unknown,unknown,unknown
4380,fz,unknown,unknown,unknown
3894,ydnyf,unknown,unknown,unknown
8137,vwhfqvtuklmwpkkpx,unknown,unknown,unknown
9479,tiaxzvqkhbjp,unknown,unknown,unknown
16052,hvyyizkd,unknown,unknown,unknown
4351,qjl,unknown,unknown,unknown
11714,aijcolmorxiz,unknown,unknown,unknown
3665,onhnfivoz,unknown,unknown,unknown
11293,uerwawfuzbhjwg,unknown,unknown,unknown
10459,tyxvwpriwezaobqz,unknown,unknown,unknown
13834,eozvjjcntqlm,unknown,unknown,unknown
2801,is there available a blue chemise,Check Availability,blue,chemise
15120,xxruryfrbo,unknown,unknown,unknown
6820,is there a pink t-shirt,Check Availability,pink,t-shirt
14777,irtvt,unknown,unknown,unknown
1659,what about brown t-shirt,unknown,brown,t-shirt
15971,ttklmuvrc,unknown,unknown,unknown
10249,qcvurxbifaahz,unknown,unknown,unknown
5169,zpkwcfhkwduavuoqkqq,unknown,unknown,unknown
15039,ikgodzfnuvaie,unknown,unknown,unknown
11046,sfgtcbqsufsibehxv,unknown,unknown,unknown
1490,is there a black shirt,Check Availability,black,shirt
8701,xlmup,unknown,unknown,unknown
14798,bonkbcjsihnpas,unknown,unknown,unknown
13875,kivzzx,unknown,unknown,unknown
15404,vehevhvhgznfokooo,unknown,unknown,unknown
15583,lmxypja,unknown,unknown,unknown
9035,vznydakvc,unknown,unknown,unknown
9728,doexxwf,unknown,unknown,unknown
5562,i am looking for a black jeans,Check Availability,black,jeans
4018,rrhr,unknown,unknown,unknown
11981,xapojnha,unknown,unknown,unknown
6586,It was talking,unknown,unknown,unknown
13743,bxlmlmyj,unknown,unknown,unknown
6629,is there a white shirt,Check Availability,white,shirt
2904,brwqjqhu,unknown,unknown,unknown
11726,dzey,unknown,unknown,unknown
14585,tibhkqdutueucdss,unknown,unknown,unknown
940,wxcdbshq,unknown,unknown,unknown
3589,you were talking,unknown,unknown,unknown
1000,what about a purple short,unknown,purple,short
1323,some white body,unknown,white,body
14667,folmdetbwqhqu,unknown,unknown,unknown
1843,what is the price of a blue jacket,Asking for the price,blue,jacket
8260,lmngvnwognxfqfhn,unknown,unknown,unknown
2834,rivsudunioyyjij,unknown,unknown,unknown
1253,hodlmtt,unknown,unknown,unknown
11001,tsenyzikeosjralmpdu,unknown,unknown,unknown
1027,sqcykfnwuiondhabnt,unknown,unknown,unknown
15137,dpxzvxgtkuyuq,unknown,unknown,unknown
12781,yfwclmuzbiilmho,unknown,unknown,unknown
